,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
133276,38.799483333148,21.595931431909,41.688375929937,-0.41196568180595,34.423966350848,5.5,0.057745886650483,True
122062,,17.591068413524,45.215404510874,-0.91616837644782,60.0,0.5,0.012600071028249,False
25842,,22.456198580517,272.46305780421,-1.353343851246,60.0,0.5,0.085578333769266,False
177513,37.497442901536,24.132539710655,43.175611018375,-0.40921560330249,33.092520844998,5.5,-0.014773809525484,True
439268,13.017999855771,12.670433949389,14.776874228793,-0.23933159348358,29.342173938858,0.5,0.04811820942787,False
55076,38.726430271185,20.648164878317,41.060303056956,-0.4400097014966,34.629786877333,5.5,0.10400057154547,True
336271,38.195725486655,12.938514815786,28.32925044581,-0.39726056722427,33.658243074389,5.5,-0.018951783849283,True
181982,,26.486940648143,27.985000560868,-0.01,40.227929339243,1.2097754935671,0.081575069744009,False
163813,47.877322165942,17.783707845887,30.916300960255,-0.90356032781294,49.377347783631,1.0921106538709,0.05770208430193,False
251550,37.43671637619,15.691099411608,34.968605640803,-0.44752277101251,33.408847955577,5.5,0.044919124409657,True
98840,46.447183815557,16.310010008317,29.539859265642,-0.69052955101356,45.681168130243,2.6328622265157,0.073815738700153,False
268037,,18.639229460857,32.528607561274,-0.39004928908434,47.889912542878,5.5,0.012061306254597,False
374802,37.847195788976,14.607883453729,35.950643396417,-0.4084796563813,33.434337501649,5.5,0.029557874676442,True
434305,47.549572525407,17.053118627895,18.54518663845,-0.6933764142913,48.103546811126,1.6600233075954,0.0076486484845452,False
19729,39.528354269937,19.894755649788,43.681701995921,-0.40487998622469,35.076262543511,5.5,0.06212452547478,True
374788,39.419307462639,11.418468798838,31.798116306819,-0.41424021127266,35.067815773001,5.5,0.12007614538288,True
291981,46.920302932487,19.538766683663,30.398195566379,-0.66714272388355,47.028595333972,1.9294302463825,0.054867746762064,False
313404,40.582055536425,23.083688583578,48.352937809292,-0.40886128201622,36.173316151816,5.5,0.0035276529323301,True
169981,,18.664401032669,40.418544700025,-0.45662292917337,46.916231258755,5.5,0.029270725115745,False
243230,37.94428938756,18.558014665319,39.163149801683,-0.46218359697925,34.044188110388,5.5,0.034378709465121,True
276853,38.047582195731,17.325913074036,36.931128423614,-0.4021641398539,33.565425140352,5.5,0.0072261068655865,True
163815,,15.59833329281,20.831865913651,-0.095622686249761,36.098239251166,0.5,-0.029207760316383,False
25885,39.506217004879,16.260496067497,35.062356127494,-0.37599233617505,34.712069190049,5.5,0.12670085232698,True
339398,37.93870318581,15.752246916211,31.904235108352,-0.41787504656783,33.625062417662,5.5,-0.0029819842413463,True
240260,37.98628505074,18.317287429412,35.714694771987,-0.44757131073371,33.95885345797,5.5,0.0082243797010301,True
354963,38.625574317209,18.500370175296,47.36796296607,-0.42896042312594,34.423408476987,5.5,0.030527835325135,True
266333,37.777730016943,21.365016966742,42.720953971269,-0.42574625067495,33.543839914543,5.5,-0.031223481142348,True
354943,,16.66474581788,17.686293532129,-0.13436263276417,19.252648515318,5.5,-0.010364400307039,False
125761,,17.66423572068,21.119642011875,-0.65043895145361,47.402531967617,5.5,0.010806274652745,False
268055,47.966199461221,20.996684227777,23.174774471672,-0.57903751743226,44.85316657026,5.5,0.096450036716079,False
133223,49.905251869193,11.58073556762,20.333090292781,-0.45340339172736,45.929624712989,5.5,0.040277431782105,False
244357,38.344421900675,17.343442544301,34.629840564803,-0.42903355997968,34.142972398794,5.5,0.032587197991522,True
339565,24.704800804863,20.038227772693,21.585781749823,-0.14436928183365,12.21902257024,5.5,0.023894576486268,False
349928,11.443319715141,14.887589205985,16.740016192624,-0.28470242926522,25.166035765341,0.5,0.022636552533556,False
154237,37.199460149045,15.932484820407,35.326748668407,-0.43587956595036,33.063999398697,5.5,0.0020929378568773,True
276863,39.427410639854,19.870428521739,37.368700432455,-0.41444163191163,35.078033796239,5.5,0.033161381036628,True
133631,38.46841014758,22.825843316937,45.039697006692,-0.44372296939824,34.406049257606,5.5,0.072608903922935,True
268035,37.310921066454,22.788879940435,23.264307279488,-0.01,39.386193776298,1.9793872971949,0.030211773383685,False
107271,47.97354691907,17.433733234787,28.796562496213,-0.58941504576457,44.91532360119,5.5,0.15123011896025,False
151630,38.47682287613,23.810761869538,47.557485054769,-0.42023361478107,34.187392489164,5.5,0.018010300614603,True
26301,47.124484132217,20.361599063169,21.775319523409,-0.15877719741107,60.0,0.84835375580897,0.06367040443066,False
55051,39.23693805555,18.919810758287,38.065797311378,-0.40788354795419,34.817630520574,5.5,0.093510975723872,True
201025,37.574587752153,19.686894214357,39.615304864826,-0.45299477171345,33.595374415875,5.5,0.021333200942665,True
53334,38.687035078079,14.523547362182,31.664622591993,-0.45141104406043,34.693861094889,5.5,0.070303762069471,True
372674,,14.417438868606,24.732659832351,-0.46985487717337,47.574276191516,5.5,0.021493695103974,False
25498,38.11142219609,16.21947605331,34.248267620608,-0.43320910987345,33.95046898485,5.5,0.033050522443745,True
441267,37.890009066726,16.284103416782,35.801075069878,-0.43063897553488,33.704222504727,5.5,0.0055197871708374,True
55047,37.852173380262,20.719281213423,41.440951717898,-0.47384004022957,34.048014415576,5.5,0.061128790039702,True
259375,19.645376788595,18.625015813455,19.157884891932,-0.30902344853754,13.812282745417,5.5,0.016843719009577,False
157861,48.699127694257,16.228398222669,28.687722618699,-1.1827328855007,50.182640322813,0.93938143609499,0.12768761226384,False
15217,38.189572844671,17.986254010668,36.656331472949,-0.42886594642282,33.986481291466,5.5,0.036941439573141,True
53362,38.443563544666,16.791757425269,29.248511363364,-0.48337745984517,34.714463645295,5.5,0.022289391581923,True
15097,15.16847031924,16.503597963354,17.770023971507,-0.13471169551971,1.7875769238111,5.5,0.031754583813898,False
292419,38.309807958265,18.582049247405,37.755757332477,-0.49134295855784,34.641163062738,5.5,0.04505612643697,True
163808,48.59534192573,16.72270139993,23.674180566584,-1.8135372439312,50.749634928911,0.5,0.01829802117857,False
313359,46.801442818081,17.152536889439,28.584197394507,-0.57698216479495,46.126314945236,2.4439747584371,0.029830282029881,False
157999,39.384771982852,24.365160005838,51.942653149023,-0.45338900603098,35.40901868295,5.5,0.10323091056544,True
